20210803000000	455.99	m3/h	00
20210803001000	449.99	m3/h	00
20210803002000	455.99	m3/h	00
20210803003000	449.99	m3/h	00
20210803004000	455.99	m3/h	00
20210803005000	455.99	m3/h	00
20210803010000	449.99	m3/h	00
20210803011000	102	m3/h	00
20210803012000	0	m3/h	00
20210803013000	0	m3/h	00
20210803014000	0	m3/h	00
20210803015000	0	m3/h	00
20210803020000	0	m3/h	00
20210803021000	0	m3/h	00
20210803022000	0	m3/h	00
20210803023000	0	m3/h	00
20210803024000	0	m3/h	00
20210803025000	0	m3/h	00
20210803030000	0	m3/h	00
20210803031000	0	m3/h	00
20210803032000	0	m3/h	00
20210803033000	0	m3/h	00
20210803034000	0	m3/h	00
20210803035000	0	m3/h	00
20210803040000	0	m3/h	00
20210803041000	0	m3/h	00
20210803042000	0	m3/h	00
20210803043000	0	m3/h	00
20210803044000	0	m3/h	00
20210803045000	0	m3/h	00
20210803050000	0	m3/h	00
20210803051000	0	m3/h	00
20210803052000	102	m3/h	00
20210803053000	245.99	m3/h	00
20210803054000	251.99	m3/h	00
20210803055000	287.99	m3/h	00
20210803060000	365.99	m3/h	00
20210803061000	431.99	m3/h	00
20210803062000	425.99	m3/h	00
20210803063000	413.99	m3/h	00
20210803064000	407.99	m3/h	00
20210803065000	407.99	m3/h	00
20210803070000	407.99	m3/h	00
20210803071000	395.99	m3/h	00
20210803072000	389.99	m3/h	00
20210803073000	401.99	m3/h	00
20210803074000	407.99	m3/h	00
20210803075000	407.99	m3/h	00
20210803080000	401.99	m3/h	00
20210803081000	407.99	m3/h	00
20210803082000	407.99	m3/h	00
20210803083000	401.99	m3/h	00
20210803084000	395.99	m3/h	00
20210803085000	389.99	m3/h	00
20210803090000	389.99	m3/h	00
20210803091000	395.99	m3/h	00
20210803092000	389.99	m3/h	00
20210803093000	401.99	m3/h	00
20210803094000	401.99	m3/h	00
20210803095000	395.99	m3/h	00
20210803100000	401.99	m3/h	00
20210803101000	96	m3/h	00
20210803102000	102	m3/h	00
20210803103000	353.99	m3/h	00
20210803104000	401.99	m3/h	00
20210803105000	407.99	m3/h	00
20210803110000	401.99	m3/h	00
